ID,is_lens,Einstein_area,numb_pix_lensed_image,flux_lensed_image_in_sigma
100000,1,6.04E-10,804,3714.68
100001,0,4.70E-11,0,0
100002,1,7.18E-11,51,57.6093
100003,1,1.76E-11,347,18815.4
100004,0,2.03E-09,0,0
100005,1,1.22E-10,275,386.188
100006,0,8.08E-10,0,0
100007,1,9.35E-10,668,2188.01
100008,0,1.28E-10,0,0
100009,0,1.03E-09,0,0
100010,0,2.66E-10,0,0
100011,0,4.32E-10,0,0
100012,0,1.06E-10,0,0
100013,0,7.64E-10,0,0
100014,1,7.95E-10,88,145.74
100015,1,1.36E-10,14,17.7407
100016,1,1.29E-11,265,5897.09
100017,0,1.47E-11,0,0
100018,0,1.48E-10,0,0
100019,1,6.16E-10,7,8.17812
100020,0,2.25E-11,0,0
100021,1,8.59E-11,140,275.68
100022,0,7.80E-11,0,0
100023,1,5.08E-11,284,956.688
100024,0,1.59E-11,0,0
100025,1,1.68E-10,211,517.393
100026,1,2.68E-10,590,1256.07
100027,0,1.04E-09,0,0
100028,1,2.21E-11,161,553.723
100029,0,2.41E-11,0,0
100030,0,1.97E-11,0,0
100031,0,1.28E-09,0,0
100032,0,2.21E-11,0,0
100033,0,8.42E-10,0,0
100034,1,5.16E-11,151,626.452
100035,1,1.24E-10,654,18333.4
100036,1,5.80E-10,16,31.4453
100037,1,3.36E-10,152,190.896
100038,0,1.65E-09,0,0
100039,0,2.30E-11,0,0
100040,1,1.15E-11,65,143.993
100041,0,9.13E-11,0,0
100042,0,2.40E-09,0,0
100043,0,6.16E-10,0,0
100044,0,4.90E-11,0,0
100045,0,5.49E-10,0,0
100046,0,1.28E-09,0,0
100047,0,5.13E-10,0,0
100048,1,1.29E-11,175,1789.36
100049,1,7.66E-10,801,1810.2
100050,1,7.21E-11,245,521.131
100051,0,1.00E-10,0,0
100052,0,2.25E-11,0,0
100053,1,4.96E-10,574,1509.23
100054,1,3.88E-11,57,98.8038
100055,0,1.70E-10,0,0
100056,0,3.72E-11,0,0
100057,1,3.45E-10,509,1974.03
100058,1,2.00E-09,215,304.1
100059,0,1.62E-11,0,0
100060,1,1.68E-10,222,368.585
100061,1,3.07E-11,131,242.29
100062,1,1.78E-11,79,214.91
100063,0,2.02E-09,0,0
100064,0,8.90E-11,0,0
100065,1,5.61E-11,41,95.2357
100066,0,4.97E-11,0,0
100067,0,2.66E-10,0,0
100068,1,1.98E-11,78,202.317
100069,1,9.22E-10,462,831.236
100070,1,7.78E-12,86,170.097
100071,0,1.82E-11,0,0
100072,0,2.76E-10,0,0
100073,0,3.83E-11,0,0
100074,1,1.67E-10,115,290.722
100075,1,3.02E-11,34,50.1301
100076,0,8.87E-11,0,0
100077,1,1.85E-10,738,24809
100078,0,1.14E-10,0,0
100079,0,1.25E-11,0,0
100080,0,9.86E-12,0,0
100081,1,2.49E-09,1357,5187.68
100082,1,2.03E-11,171,1282.45
100083,0,1.51E-10,0,0
100084,0,9.06E-11,0,0
100085,0,5.14E-10,0,0
100086,0,2.76E-10,0,0
100087,1,1.99E-11,76,150.1
100088,1,2.98E-11,119,386.399
100089,1,1.13E-09,872,2842.28
100090,1,9.38E-10,7,9.43332
100091,1,2.25E-11,126,624.085
100092,0,3.03E-11,0,0
100093,0,1.28E-09,0,0
100094,0,7.06E-10,0,0
100095,0,1.12E-10,0,0
100096,1,1.36E-11,54,115.461
100097,0,1.65E-11,0,0
100098,1,9.53E-11,11,11.9625
100099,0,5.99E-10,0,0
100100,0,2.92E-11,0,0
100101,1,9.31E-10,474,911.864
100102,0,2.12E-09,0,0
100103,0,1.37E-10,0,0
100104,0,1.71E-11,0,0
100105,1,1.48E-10,118,373.913
100106,0,3.76E-11,0,0
100107,0,1.20E-09,0,0
100108,1,3.84E-11,146,347.248
100109,1,5.42E-11,52,63.2829
100110,1,3.77E-10,20,30.1325
100111,0,8.82E-11,0,0
100112,0,1.39E-09,0,0
100113,1,4.81E-11,236,1271.76
100114,0,1.62E-11,0,0
100115,1,2.22E-09,731,5266.18
100116,1,9.11E-11,40,97.2146
100117,1,4.61E-11,152,544.716
100118,0,6.62E-11,0,0
100119,0,2.39E-09,0,0
100120,1,4.74E-11,166,557.333
100121,0,6.81E-11,0,0
100122,0,1.50E-11,0,0
100123,0,3.62E-11,0,0
100124,1,1.02E-09,8,9.26462
100125,0,1.51E-10,0,0
100126,0,1.94E-10,0,0
100127,1,9.97E-11,197,390.185
100128,0,1.26E-11,0,0
100129,0,8.98E-10,0,0
100130,1,2.33E-11,429,4611.85
100131,0,5.99E-10,0,0
100132,1,6.48E-10,74,294.892
100133,0,2.93E-11,0,0
100134,0,1.53E-10,0,0
100135,1,1.98E-09,36,71.5093
100136,0,7.77E-11,0,0
